,instruction,input,output
4666,"COL CCN VAL 39T327 COL Facility VAL WELLSPAN SURGERY AND REHABILITATION HOSPITAL COL Address1 VAL 55 MONUMENT RD COL City VAL YORK COL State VAL PA COL ZipCode VAL 17403 COL County VAL New Hanover COL PhoneNumber VAL (717) 812-6100 COL CMSRegion VAL 3 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL County VAL New Hanover ,York
4667,"COL CCN VAL 39T327 COL Facility VAL WELLSPAN SURGERY AND REHABILITATION HOSPITAL COL Address1 VAL 55 MONUMENT RD COL City VAL YORK COL State VAL PA COL ZipCode VAL 17403 COL County VAL York COL PhoneNumber VAL (313) 343-4546 COL CMSRegion VAL 3 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL PhoneNumber VAL (313) 343-4546 ,(717) 812-6100
4668,"COL CCN VAL 39T327 COL Facility VAL WELLSPAN SURGERY AND REHABILITATION HOSPITAL COL Address1 VAL 55 MONUMENT RD COL City VAL YORK COL State VAL PA COL ZipCode VAL 17403 COL County VAL York COL PhoneNumber VAL (717) 812-6100 COL CMSRegion VAL 8 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL CMSRegion VAL 8 ,3
4669,COL CCN VAL 39T327 COL Facility VAL WELLSPAN SURGERY AND REHABILITATION HOSPITAL COL Address1 VAL 55 MONUMENT RD COL City VAL YORK COL State VAL PA COL ZipCode VAL 17403 COL County VAL York COL PhoneNumber VAL (717) 812-6100 COL CMSRegion VAL 3 COL Condition VAL Sinal cord disease or condition (non-traumatic) ,COL Condition VAL Sinal cord disease or condition (non-traumatic) ,"Hip or knee replacement, amputation or other bone or joint condition"
4670,COL CCN VAL 11T122 COL Facility VAL ENCOMPASS HEALTH REHABILITATION HOSPITAL COL Address1 VAL 1201 FLEMING AVE COL City VAL JONESBORO COL State VAL AR COL ZipCode VAL 72401 COL County VAL Craighead COL PhoneNumber VAL (870) 932-0440 COL CMSRegion VAL 6 COL Condition VAL Nervous system disorder (excluding stroke) ,COL CCN VAL 11T122 ,43029
4671,COL CCN VAL 43029 COL Facility VAL ECOMPASS HEALTH REHABILITATION HOSPITAL CUMMING COL Address1 VAL 1201 FLEMING AVE COL City VAL JONESBORO COL State VAL AR COL ZipCode VAL 72401 COL County VAL Craighead COL PhoneNumber VAL (870) 932-0440 COL CMSRegion VAL 6 COL Condition VAL Brain injury (traumatic) ,COL Facility VAL ECOMPASS HEALTH REHABILITATION HOSPITAL CUMMING ,ENCOMPASS HEALTH REHABILITATION HOSPITAL
4672,COL CCN VAL 43029 COL Facility VAL ENCOMPASS HEALTH REHABILITATION HOSPITAL COL Address1 VAL 2400 EAST 17TH ST COL City VAL JONESBORO COL State VAL AR COL ZipCode VAL 72401 COL County VAL Craighead COL PhoneNumber VAL (870) 932-0440 COL CMSRegion VAL 6 COL Condition VAL Brain injury (traumatic) ,COL Address1 VAL 2400 EAST 17TH ST ,1201 FLEMING AVE
4673,COL CCN VAL 43029 COL Facility VAL ENCOMPASS HEALTH REHABILITATION HOSPITAL COL Address1 VAL 1201 FLEMING AVE COL City VAL GREENSBORO COL State VAL AR COL ZipCode VAL 72401 COL County VAL Craighead COL PhoneNumber VAL (870) 932-0440 COL CMSRegion VAL 6 COL Condition VAL Stroke ,COL City VAL GREENSBORO ,JONESBORO
4674,COL CCN VAL 43029 COL Facility VAL ENCOMPASS HEALTH REHABILITATION HOSPITAL COL Address1 VAL 1201 FLEMING AVE COL City VAL JONESBORO COL State VAL NC COL ZipCode VAL 72401 COL County VAL Craighead COL PhoneNumber VAL (870) 932-0440 COL CMSRegion VAL 6 COL Condition VAL Stroke ,COL State VAL NC ,AR
4675,COL CCN VAL 43029 COL Facility VAL ENCOMPASS HEALTH REHABILITATION HOSPITAL COL Address1 VAL 1201 FLEMING AVE COL City VAL JONESBORO COL State VAL AR COL ZipCode VAL 43140 COL County VAL Craighead COL PhoneNumber VAL (870) 932-0440 COL CMSRegion VAL 6 COL Condition VAL Stroke ,COL ZipCode VAL 43140 ,72401
4676,COL CCN VAL 43029 COL Facility VAL ENCOMPASS HEALTH REHABILITATION HOSPITAL COL Address1 VAL 1201 FLEMING AVE COL City VAL JONESBORO COL State VAL AR COL ZipCode VAL 72401 COL County VAL Hillsborough COL PhoneNumber VAL (870) 932-0440 COL CMSRegion VAL 6 COL Condition VAL Nervous system disorder (excluding stroke) ,COL County VAL Hillsborough ,Craighead
4677,COL CCN VAL 43029 COL Facility VAL ENCOMPASS HEALTH REHABILITATION HOSPITAL COL Address1 VAL 1201 FLEMING AVE COL City VAL JONESBORO COL State VAL AR COL ZipCode VAL 72401 COL County VAL Craighead COL PhoneNumber VAL (205) 934-4940 COL CMSRegion VAL 6 COL Condition VAL Nervous system disorder (excluding stroke) ,COL PhoneNumber VAL (205) 934-4940 ,(870) 932-0440
4678,COL CCN VAL 43029 COL Facility VAL ENCOMPASS HEALTH REHABILITATION HOSPITAL COL Address1 VAL 1201 FLEMING AVE COL City VAL JONESBORO COL State VAL AR COL ZipCode VAL 72401 COL County VAL Craighead COL PhoneNumber VAL (870) 932-0440 COL CMSRegion VAL 10 COL Condition VAL Brain injury (traumatic) ,COL CMSRegion VAL 10 ,6
4679,COL CCN VAL 43029 COL Facility VAL ENCOMPASS HEALTH REHABILITATION HOSPITAL COL Address1 VAL 1201 FLEMING AVE COL City VAL JONESBORO COL State VAL AR COL ZipCode VAL 72401 COL County VAL Craighead COL PhoneNumber VAL (870) 932-0440 COL CMSRegion VAL 6 COL Condition VAL Hp or femur fracture ,COL Condition VAL Hp or femur fracture ,Stroke
4680,COL CCN VAL 07T033 COL Facility VAL CHI ST VINCENT SHERWOOD REHABILITATION HOSPITAL COL Address1 VAL 2201 WILDWOOD AVENUE COL City VAL SHERWOOD COL State VAL AR COL ZipCode VAL 72120 COL County VAL Pulaski COL PhoneNumber VAL (501) 834-1800 COL CMSRegion VAL 6 COL Condition VAL Brain disease or condition (non-traumatic) ,COL CCN VAL 07T033 ,43031
4681,COL CCN VAL 43031 COL Facility VAL POUDRE VALLEY HOSPITAL COL Address1 VAL 2201 WILDWOOD AVENUE COL City VAL SHERWOOD COL State VAL AR COL ZipCode VAL 72120 COL County VAL Pulaski COL PhoneNumber VAL (501) 834-1800 COL CMSRegion VAL 6 COL Condition VAL Brain injury (traumatic) ,COL Facility VAL POUDRE VALLEY HOSPITAL ,CHI ST VINCENT SHERWOOD REHABILITATION HOSPITAL
4682,COL CCN VAL 43031 COL Facility VAL CHI ST VINCENT SHERWOOD REHABILITATION HOSPITAL COL Address1 VAL ORLANDO COL City VAL SHERWOOD COL State VAL AR COL ZipCode VAL 72120 COL County VAL Pulaski COL PhoneNumber VAL (501) 834-1800 COL CMSRegion VAL 6 COL Condition VAL Brain injury (traumatic) ,COL Address1 VAL ORLANDO ,2201 WILDWOOD AVENUE
4683,COL CCN VAL 43031 COL Facility VAL CHI ST VINCENT SHERWOOD REHABILITATION HOSPITAL COL Address1 VAL 2201 WILDWOOD AVENUE COL City VAL PHILADELPHIA COL State VAL AR COL ZipCode VAL 72120 COL County VAL Pulaski COL PhoneNumber VAL (501) 834-1800 COL CMSRegion VAL 6 COL Condition VAL Brain injury (traumatic) ,COL City VAL PHILADELPHIA ,SHERWOOD
4684,COL CCN VAL 43031 COL Facility VAL CHI ST VINCENT SHERWOOD REHABILITATION HOSPITAL COL Address1 VAL 2201 WILDWOOD AVENUE COL City VAL SHERWOOD COL State VAL MO COL ZipCode VAL 72120 COL County VAL Pulaski COL PhoneNumber VAL (501) 834-1800 COL CMSRegion VAL 6 COL Condition VAL Brain disease or condition (non-traumatic) ,COL State VAL MO ,AR
4685,COL CCN VAL 43031 COL Facility VAL CHI ST VINCENT SHERWOOD REHABILITATION HOSPITAL COL Address1 VAL 2201 WILDWOOD AVENUE COL City VAL SHERWOOD COL State VAL AR COL ZipCode VAL 4802 COL County VAL Pulaski COL PhoneNumber VAL (501) 834-1800 COL CMSRegion VAL 6 COL Condition VAL Brain disease or condition (non-traumatic) ,COL ZipCode VAL 4802 ,72120
4686,COL CCN VAL 43031 COL Facility VAL CHI ST VINCENT SHERWOOD REHABILITATION HOSPITAL COL Address1 VAL 2201 WILDWOOD AVENUE COL City VAL SHERWOOD COL State VAL AR COL ZipCode VAL 72120 COL County VAL Hmpden COL PhoneNumber VAL (501) 834-1800 COL CMSRegion VAL 6 COL Condition VAL Brain injury (traumatic) ,COL County VAL Hmpden ,Pulaski
4687,COL CCN VAL 43031 COL Facility VAL CHI ST VINCENT SHERWOOD REHABILITATION HOSPITAL COL Address1 VAL 2201 WILDWOOD AVENUE COL City VAL SHERWOOD COL State VAL AR COL ZipCode VAL 72120 COL County VAL Pulaski COL PhoneNumber VAL (828) 326-3248 COL CMSRegion VAL 6 COL Condition VAL Brain injury (traumatic) ,COL PhoneNumber VAL (828) 326-3248 ,(501) 834-1800
4688,COL CCN VAL 43031 COL Facility VAL CHI ST VINCENT SHERWOOD REHABILITATION HOSPITAL COL Address1 VAL 2201 WILDWOOD AVENUE COL City VAL SHERWOOD COL State VAL AR COL ZipCode VAL 72120 COL County VAL Pulaski COL PhoneNumber VAL (501) 834-1800 COL CMSRegion VAL 2 COL Condition VAL Brain injury (traumatic) ,COL CMSRegion VAL 2 ,6
4689,COL CCN VAL 43031 COL Facility VAL CHI ST VINCENT SHERWOOD REHABILITATION HOSPITAL COL Address1 VAL 2201 WILDWOOD AVENUE COL City VAL SHERWOOD COL State VAL AR COL ZipCode VAL 72120 COL County VAL Pulaski COL PhoneNumber VAL (501) 834-1800 COL CMSRegion VAL 6 COL Condition VAL  ,COL Condition VAL  ,Brain injury (traumatic)
4690,COL CCN VAL 2T151 COL Facility VAL CONWAY REGIONAL REHABILITATION HOSPITAL COL Address1 VAL 2210 ROBINSON STREET COL City VAL CONWAY COL State VAL AR COL ZipCode VAL 72034 COL County VAL Faulkner COL PhoneNumber VAL (501) 932-3500 COL CMSRegion VAL 6 COL Condition VAL Hip or femur fracture ,COL CCN VAL 2T151 ,43033
4691,COL CCN VAL 43033 COL Facility VAL WELDON CENTER FOR REHABILITATION COL Address1 VAL 2210 ROBINSON STREET COL City VAL CONWAY COL State VAL AR COL ZipCode VAL 72034 COL County VAL Faulkner COL PhoneNumber VAL (501) 932-3500 COL CMSRegion VAL 6 COL Condition VAL Hip or femur fracture ,COL Facility VAL WELDON CENTER FOR REHABILITATION ,CONWAY REGIONAL REHABILITATION HOSPITAL
4692,COL CCN VAL 43033 COL Facility VAL CONWAY REGIONAL REHABILITATION HOSPITAL COL Address1 VAL 1255 HILYARD STREET COL City VAL CONWAY COL State VAL AR COL ZipCode VAL 72034 COL County VAL Faulkner COL PhoneNumber VAL (501) 932-3500 COL CMSRegion VAL 6 COL Condition VAL Hip or femur fracture ,COL Address1 VAL 1255 HILYARD STREET ,2210 ROBINSON STREET
4693,COL CCN VAL 43033 COL Facility VAL CONWAY REGIONAL REHABILITATION HOSPITAL COL Address1 VAL 2210 ROBINSON STREET COL City VAL NEWPORT BEACH COL State VAL AR COL ZipCode VAL 72034 COL County VAL Faulkner COL PhoneNumber VAL (501) 932-3500 COL CMSRegion VAL 6 COL Condition VAL Hip or femur fracture ,COL City VAL NEWPORT BEACH ,CONWAY
4694,COL CCN VAL 43033 COL Facility VAL CONWAY REGIONAL REHABILITATION HOSPITAL COL Address1 VAL 2210 ROBINSON STREET COL City VAL CONWAY COL State VAL MS COL ZipCode VAL 72034 COL County VAL Faulkner COL PhoneNumber VAL (501) 932-3500 COL CMSRegion VAL 6 COL Condition VAL Hip or femur fracture ,COL State VAL MS ,AR
4695,COL CCN VAL 43033 COL Facility VAL CONWAY REGIONAL REHABILITATION HOSPITAL COL Address1 VAL 2210 ROBINSON STREET COL City VAL CONWAY COL State VAL AR COL ZipCode VAL 41042 COL County VAL Faulkner COL PhoneNumber VAL (501) 932-3500 COL CMSRegion VAL 6 COL Condition VAL Hip or femur fracture ,COL ZipCode VAL 41042 ,72034
4696,COL CCN VAL 43033 COL Facility VAL CONWAY REGIONAL REHABILITATION HOSPITAL COL Address1 VAL 2210 ROBINSON STREET COL City VAL CONWAY COL State VAL AR COL ZipCode VAL 72034 COL County VAL Mecklenburg COL PhoneNumber VAL (501) 932-3500 COL CMSRegion VAL 6 COL Condition VAL Hip or femur fracture ,COL County VAL Mecklenburg ,Faulkner
4697,COL CCN VAL 43033 COL Facility VAL CONWAY REGIONAL REHABILITATION HOSPITAL COL Address1 VAL 2210 ROBINSON STREET COL City VAL CONWAY COL State VAL AR COL ZipCode VAL 72034 COL County VAL Faulkner COL PhoneNumber VAL (248) 898-7319 COL CMSRegion VAL 6 COL Condition VAL Hip or femur fracture ,COL PhoneNumber VAL (248) 898-7319 ,(501) 932-3500
4698,COL CCN VAL 43033 COL Facility VAL CONWAY REGIONAL REHABILITATION HOSPITAL COL Address1 VAL 2210 ROBINSON STREET COL City VAL CONWAY COL State VAL AR COL ZipCode VAL 72034 COL County VAL Faulkner COL PhoneNumber VAL (501) 932-3500 COL CMSRegion VAL 5 COL Condition VAL Hip or femur fracture ,COL CMSRegion VAL 5 ,6
4699,COL CCN VAL 43033 COL Facility VAL CONWAY REGIONAL REHABILITATION HOSPITAL COL Address1 VAL 2210 ROBINSON STREET COL City VAL CONWAY COL State VAL AR COL ZipCode VAL 72034 COL County VAL Faulkner COL PhoneNumber VAL (501) 932-3500 COL CMSRegion VAL 6 COL Condition VAL Bain disease or condition (non-traumatic) ,COL Condition VAL Bain disease or condition (non-traumatic) ,Hip or femur fracture
4700,"COL CCN VAL 83026 COL Facility VAL CHI ST VINCENT HS REHAB HOSP, A PART OF ENCOMPASS COL Address1 VAL 1636 HIGDON FERRY ROAD COL City VAL HOT SPRINGS COL State VAL AR COL ZipCode VAL 71913 COL County VAL Garland COL PhoneNumber VAL (501) 651-2000 COL CMSRegion VAL 6 COL Condition VAL Nervous system disorder (excluding stroke) ",COL CCN VAL 83026 ,43035
4701,COL CCN VAL 43035 COL Facility VAL MERCY MEDICAL CENTER COL Address1 VAL 1636 HIGDON FERRY ROAD COL City VAL HOT SPRINGS COL State VAL AR COL ZipCode VAL 71913 COL County VAL Garland COL PhoneNumber VAL (501) 651-2000 COL CMSRegion VAL 6 COL Condition VAL Nervous system disorder (excluding stroke) ,COL Facility VAL MERCY MEDICAL CENTER ,"CHI ST VINCENT HS REHAB HOSP, A PART OF ENCOMPASS"
4702,"COL CCN VAL 43035 COL Facility VAL CHI ST VINCENT HS REHAB HOSP, A PART OF ENCOMPASS COL Address1 VAL 707 E MAIN ST COL City VAL HOT SPRINGS COL State VAL AR COL ZipCode VAL 71913 COL County VAL Garland COL PhoneNumber VAL (501) 651-2000 COL CMSRegion VAL 6 COL Condition VAL Brain disease or condition (non-traumatic) ",COL Address1 VAL 707 E MAIN ST ,1636 HIGDON FERRY ROAD
4703,"COL CCN VAL 43035 COL Facility VAL CHI ST VINCENT HS REHAB HOSP, A PART OF ENCOMPASS COL Address1 VAL 1636 HIGDON FERRY ROAD COL City VAL LAKEWOOD COL State VAL AR COL ZipCode VAL 71913 COL County VAL Garland COL PhoneNumber VAL (501) 651-2000 COL CMSRegion VAL 6 COL Condition VAL Brain injury (traumatic) ",COL City VAL LAKEWOOD ,HOT SPRINGS
4704,"COL CCN VAL 43035 COL Facility VAL CHI ST VINCENT HS REHAB HOSP, A PART OF ENCOMPASS COL Address1 VAL 1636 HIGDON FERRY ROAD COL City VAL HOT SPRINGS COL State VAL MI COL ZipCode VAL 71913 COL County VAL Garland COL PhoneNumber VAL (501) 651-2000 COL CMSRegion VAL 6 COL Condition VAL Nervous system disorder (excluding stroke) ",COL State VAL MI ,AR
4705,"COL CCN VAL 43035 COL Facility VAL CHI ST VINCENT HS REHAB HOSP, A PART OF ENCOMPASS COL Address1 VAL 1636 HIGDON FERRY ROAD COL City VAL HOT SPRINGS COL State VAL AR COL ZipCode VAL 840 COL County VAL Garland COL PhoneNumber VAL (501) 651-2000 COL CMSRegion VAL 6 COL Condition VAL Nervous system disorder (excluding stroke) ",COL ZipCode VAL 840 ,71913
4706,"COL CCN VAL 43035 COL Facility VAL CHI ST VINCENT HS REHAB HOSP, A PART OF ENCOMPASS COL Address1 VAL 1636 HIGDON FERRY ROAD COL City VAL HOT SPRINGS COL State VAL AR COL ZipCode VAL 71913 COL County VAL Grland COL PhoneNumber VAL (501) 651-2000 COL CMSRegion VAL 6 COL Condition VAL Brain injury (traumatic) ",COL County VAL Grland ,Garland
4707,"COL CCN VAL 43035 COL Facility VAL CHI ST VINCENT HS REHAB HOSP, A PART OF ENCOMPASS COL Address1 VAL 1636 HIGDON FERRY ROAD COL City VAL HOT SPRINGS COL State VAL AR COL ZipCode VAL 71913 COL County VAL Garland COL PhoneNumber VAL (70) 826-3800 COL CMSRegion VAL 6 COL Condition VAL Brain disease or condition (non-traumatic) ",COL PhoneNumber VAL (70) 826-3800 ,(501) 651-2000
4708,"COL CCN VAL 43035 COL Facility VAL CHI ST VINCENT HS REHAB HOSP, A PART OF ENCOMPASS COL Address1 VAL 1636 HIGDON FERRY ROAD COL City VAL HOT SPRINGS COL State VAL AR COL ZipCode VAL 71913 COL County VAL Garland COL PhoneNumber VAL (501) 651-2000 COL CMSRegion VAL  COL Condition VAL Nervous system disorder (excluding stroke) ",COL CMSRegion VAL  ,6
4709,"COL CCN VAL 43035 COL Facility VAL CHI ST VINCENT HS REHAB HOSP, A PART OF ENCOMPASS COL Address1 VAL 1636 HIGDON FERRY ROAD COL City VAL HOT SPRINGS COL State VAL AR COL ZipCode VAL 71913 COL County VAL Garland COL PhoneNumber VAL (501) 651-2000 COL CMSRegion VAL 6 COL Condition VAL All other conditions ",COL Condition VAL All other conditions ,Nervous system disorder (excluding stroke)
4710,COL CCN VAL 93025 COL Facility VAL EVEREST REHABILITATION HOSPITAL NWA COL Address1 VAL 4313 SOUTH PLEASANT CROSSING BOULEVARD COL City VAL ROGERS COL State VAL AR COL ZipCode VAL 72758 COL County VAL Benton COL PhoneNumber VAL (479) 341-4004 COL CMSRegion VAL 6 COL Condition VAL Spinal cord injury (traumatic) ,COL CCN VAL 93025 ,43036
4711,COL CCN VAL 43036 COL Facility VAL ST. JAMES HOSPITAL COL Address1 VAL 4313 SOUTH PLEASANT CROSSING BOULEVARD COL City VAL ROGERS COL State VAL AR COL ZipCode VAL 72758 COL County VAL Benton COL PhoneNumber VAL (479) 341-4004 COL CMSRegion VAL 6 COL Condition VAL Spinal cord injury (traumatic) ,COL Facility VAL ST. JAMES HOSPITAL ,EVEREST REHABILITATION HOSPITAL NWA
4712,COL CCN VAL 43036 COL Facility VAL EVEREST REHABILITATION HOSPITAL NWA COL Address1 VAL 5200 HARROUN ROAD COL City VAL ROGERS COL State VAL AR COL ZipCode VAL 72758 COL County VAL Benton COL PhoneNumber VAL (479) 341-4004 COL CMSRegion VAL 6 COL Condition VAL Spinal cord injury (traumatic) ,COL Address1 VAL 5200 HARROUN ROAD ,4313 SOUTH PLEASANT CROSSING BOULEVARD
4713,COL CCN VAL 43036 COL Facility VAL EVEREST REHABILITATION HOSPITAL NWA COL Address1 VAL 4313 SOUTH PLEASANT CROSSING BOULEVARD COL City VAL FRANKLIN COL State VAL AR COL ZipCode VAL 72758 COL County VAL Benton COL PhoneNumber VAL (479) 341-4004 COL CMSRegion VAL 6 COL Condition VAL Spinal cord injury (traumatic) ,COL City VAL FRANKLIN ,ROGERS
4714,COL CCN VAL 43036 COL Facility VAL EVEREST REHABILITATION HOSPITAL NWA COL Address1 VAL 4313 SOUTH PLEASANT CROSSING BOULEVARD COL City VAL ROGERS COL State VAL HI COL ZipCode VAL 72758 COL County VAL Benton COL PhoneNumber VAL (479) 341-4004 COL CMSRegion VAL 6 COL Condition VAL Spinal cord injury (traumatic) ,COL State VAL HI ,AR
4715,COL CCN VAL 43036 COL Facility VAL EVEREST REHABILITATION HOSPITAL NWA COL Address1 VAL 4313 SOUTH PLEASANT CROSSING BOULEVARD COL City VAL ROGERS COL State VAL AR COL ZipCode VAL 32043 COL County VAL Benton COL PhoneNumber VAL (479) 341-4004 COL CMSRegion VAL 6 COL Condition VAL Spinal cord injury (traumatic) ,COL ZipCode VAL 32043 ,72758
4716,COL CCN VAL 43036 COL Facility VAL EVEREST REHABILITATION HOSPITAL NWA COL Address1 VAL 4313 SOUTH PLEASANT CROSSING BOULEVARD COL City VAL ROGERS COL State VAL AR COL ZipCode VAL 72758 COL County VAL Cmberland COL PhoneNumber VAL (479) 341-4004 COL CMSRegion VAL 6 COL Condition VAL Spinal cord injury (traumatic) ,COL County VAL Cmberland ,Benton
4717,COL CCN VAL 43036 COL Facility VAL EVEREST REHABILITATION HOSPITAL NWA COL Address1 VAL 4313 SOUTH PLEASANT CROSSING BOULEVARD COL City VAL ROGERS COL State VAL AR COL ZipCode VAL 72758 COL County VAL Benton COL PhoneNumber VAL (501) 932-3500 COL CMSRegion VAL 6 COL Condition VAL Spinal cord injury (traumatic) ,COL PhoneNumber VAL (501) 932-3500 ,(479) 341-4004
4718,COL CCN VAL 43036 COL Facility VAL EVEREST REHABILITATION HOSPITAL NWA COL Address1 VAL 4313 SOUTH PLEASANT CROSSING BOULEVARD COL City VAL ROGERS COL State VAL AR COL ZipCode VAL 72758 COL County VAL Benton COL PhoneNumber VAL (479) 341-4004 COL CMSRegion VAL 4 COL Condition VAL Spinal cord injury (traumatic) ,COL CMSRegion VAL 4 ,6
4719,COL CCN VAL 43036 COL Facility VAL EVEREST REHABILITATION HOSPITAL NWA COL Address1 VAL 4313 SOUTH PLEASANT CROSSING BOULEVARD COL City VAL ROGERS COL State VAL AR COL ZipCode VAL 72758 COL County VAL Benton COL PhoneNumber VAL (479) 341-4004 COL CMSRegion VAL 6 COL Condition VAL Sroke ,COL Condition VAL Sroke ,Spinal cord injury (traumatic)
4720,COL CCN VAL 43031 COL Facility VAL ENCOMPASS HEALTH REHABILITATON HOSPITAL OF BAKERS COL Address1 VAL 5001 COMMERCE DRIVE COL City VAL BAKERSFIELD COL State VAL CA COL ZipCode VAL 93309 COL County VAL Kern COL PhoneNumber VAL (661) 323-5500 COL CMSRegion VAL 9 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL CCN VAL 43031 ,53031
4721,COL CCN VAL 53031 COL Facility VAL TOURO REHABILITATION CENTER COL Address1 VAL 5001 COMMERCE DRIVE COL City VAL BAKERSFIELD COL State VAL CA COL ZipCode VAL 93309 COL County VAL Kern COL PhoneNumber VAL (661) 323-5500 COL CMSRegion VAL 9 COL Condition VAL Al other conditions ,COL Facility VAL TOURO REHABILITATION CENTER ,ENCOMPASS HEALTH REHABILITATON HOSPITAL OF BAKERS
4722,COL CCN VAL 53031 COL Facility VAL ENCOMPASS HEALTH REHABILITATON HOSPITAL OF BAKERS COL Address1 VAL 831 S STATE RD 434 COL City VAL BAKERSFIELD COL State VAL CA COL ZipCode VAL 93309 COL County VAL Kern COL PhoneNumber VAL (661) 323-5500 COL CMSRegion VAL 9 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL Address1 VAL 831 S STATE RD 434 ,5001 COMMERCE DRIVE
4723,COL CCN VAL 53031 COL Facility VAL ENCOMPASS HEALTH REHABILITATON HOSPITAL OF BAKERS COL Address1 VAL 5001 COMMERCE DRIVE COL City VAL OXFORD COL State VAL CA COL ZipCode VAL 93309 COL County VAL Kern COL PhoneNumber VAL (661) 323-5500 COL CMSRegion VAL 9 COL Condition VAL Brain injury (traumatic) ,COL City VAL OXFORD ,BAKERSFIELD
4724,COL CCN VAL 53031 COL Facility VAL ENCOMPASS HEALTH REHABILITATON HOSPITAL OF BAKERS COL Address1 VAL 5001 COMMERCE DRIVE COL City VAL BAKERSFIELD COL State VAL NY COL ZipCode VAL 93309 COL County VAL Kern COL PhoneNumber VAL (661) 323-5500 COL CMSRegion VAL 9 COL Condition VAL Al other conditions ,COL State VAL NY ,CA
4725,COL CCN VAL 53031 COL Facility VAL ENCOMPASS HEALTH REHABILITATON HOSPITAL OF BAKERS COL Address1 VAL 5001 COMMERCE DRIVE COL City VAL BAKERSFIELD COL State VAL CA COL ZipCode VAL 1595 COL County VAL Kern COL PhoneNumber VAL (661) 323-5500 COL CMSRegion VAL 9 COL Condition VAL Al other conditions ,COL ZipCode VAL 1595 ,93309
4726,COL CCN VAL 53031 COL Facility VAL ENCOMPASS HEALTH REHABILITATON HOSPITAL OF BAKERS COL Address1 VAL 5001 COMMERCE DRIVE COL City VAL BAKERSFIELD COL State VAL CA COL ZipCode VAL 93309 COL County VAL Aa COL PhoneNumber VAL (661) 323-5500 COL CMSRegion VAL 9 COL Condition VAL Al other conditions ,COL County VAL Aa ,Kern
4727,COL CCN VAL 53031 COL Facility VAL ENCOMPASS HEALTH REHABILITATON HOSPITAL OF BAKERS COL Address1 VAL 5001 COMMERCE DRIVE COL City VAL BAKERSFIELD COL State VAL CA COL ZipCode VAL 93309 COL County VAL Kern COL PhoneNumber VAL (515) 868-7665 COL CMSRegion VAL 9 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL PhoneNumber VAL (515) 868-7665 ,(661) 323-5500
4728,COL CCN VAL 53031 COL Facility VAL ENCOMPASS HEALTH REHABILITATON HOSPITAL OF BAKERS COL Address1 VAL 5001 COMMERCE DRIVE COL City VAL BAKERSFIELD COL State VAL CA COL ZipCode VAL 93309 COL County VAL Kern COL PhoneNumber VAL (661) 323-5500 COL CMSRegion VAL  COL Condition VAL Brain injury (traumatic) ,COL CMSRegion VAL  ,9
4729,COL CCN VAL 53031 COL Facility VAL ENCOMPASS HEALTH REHABILITATON HOSPITAL OF BAKERS COL Address1 VAL 5001 COMMERCE DRIVE COL City VAL BAKERSFIELD COL State VAL CA COL ZipCode VAL 93309 COL County VAL Kern COL PhoneNumber VAL (661) 323-5500 COL CMSRegion VAL 9 COL Condition VAL Hp or femur fracture ,COL Condition VAL Hp or femur fracture ,Al other conditions
4730,COL CCN VAL 33036 COL Facility VAL SAN JOAQUIN VALLEY REHABILITATION HOSP COL Address1 VAL 7173 N SHARON AVENUE COL City VAL FRESNO COL State VAL CA COL ZipCode VAL 93720 COL County VAL Fresno COL PhoneNumber VAL (559) 436-3600 COL CMSRegion VAL 9 COL Condition VAL Spinal cord injury (traumatic) ,COL CCN VAL 33036 ,53032
4731,"COL CCN VAL 53032 COL Facility VAL LENOIR MEMORIAL HOSPITAL REHAB UNIT COL Address1 VAL 7173 N SHARON AVENUE COL City VAL FRESNO COL State VAL CA COL ZipCode VAL 93720 COL County VAL Fresno COL PhoneNumber VAL (559) 436-3600 COL CMSRegion VAL 9 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL Facility VAL LENOIR MEMORIAL HOSPITAL REHAB UNIT ,SAN JOAQUIN VALLEY REHABILITATION HOSP
4732,COL CCN VAL 53032 COL Facility VAL SAN JOAQUIN VALLEY REHABILITATION HOSP COL Address1 VAL MEDICAL CENTER BLVD COL City VAL FRESNO COL State VAL CA COL ZipCode VAL 93720 COL County VAL Fresno COL PhoneNumber VAL (559) 436-3600 COL CMSRegion VAL 9 COL Condition VAL Brain injury (traumatic) ,COL Address1 VAL MEDICAL CENTER BLVD ,7173 N SHARON AVENUE
4733,COL CCN VAL 53032 COL Facility VAL SAN JOAQUIN VALLEY REHABILITATION HOSP COL Address1 VAL 7173 N SHARON AVENUE COL City VAL THIBODAUX COL State VAL CA COL ZipCode VAL 93720 COL County VAL Fresno COL PhoneNumber VAL (559) 436-3600 COL CMSRegion VAL 9 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL City VAL THIBODAUX ,FRESNO
